OsDREB1A
OsDREB1B
OsDREB2B
OsDREB2A
OSDREB1F
OsDREB1G
OsDERF1
OsERF3
OsERF4A
OsbZIP16
OsbZIP23
OsbZIP71
OsbZIP72
OsTPS1
OsCIPK12
OsCIPK03
OsMYB2
OsMYB4
OsPIN3t
OsPIL1
OsPYc2
OsPP2CO6
OsPP2C30
OREB1
OsWRKY30
SNAC1
ZFP182
AP37
DREB1A
DREB1B
DREB2B
DREB2A
DREB1F
DREB1G
DERF1
ERF3
ERF4A
bZIP16
bZIP23
bZIP71
bZIP72
TPS1
CIPK12
CIPK03
MYB2
MYB4
PIN3t
PIL1
PYc2
PP2CO6
PP2C30
WRKY30
